Name,Description__c,Price__c,Image_URL__c
Wireless Headphones,"Premium noise-cancelling wireless headphones with 30-hour battery life. Perfect for music lovers and professionals.",299.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400
Smart Watch,"Fitness tracking smartwatch with heart rate monitor, GPS, and water resistance. Stay connected on the go.",399.99,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400
Laptop Backpack,"Durable travel backpack with padded laptop compartment, USB charging port, and water-resistant material.",79.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400
Bluetooth Speaker,"Portable wireless speaker with 360° sound, waterproof design, and 12-hour playtime. Perfect for outdoor adventures.",149.99,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400
Wireless Mouse,"Ergonomic wireless mouse with precision tracking and rechargeable battery. Comfortable for extended use.",49.99,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400
USB-C Hub,"7-in-1 USB-C hub with HDMI, USB 3.0, SD card reader, and 100W power delivery. Essential for modern laptops.",59.99,https://images.unsplash.com/photo-1625948515291-69613efd103f?w=400
Phone Case,"Ultra-slim protective phone case with military-grade drop protection and wireless charging compatibility.",34.99,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=400
Desk Lamp,"LED desk lamp with adjustable brightness, color temperature control, and USB charging port. Eye-friendly design.",69.99,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=400
Webcam,"1080p HD webcam with auto-focus, built-in microphone, and wide-angle lens. Perfect for video conferencing.",89.99,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=400
Portable Charger,"20,000mAh power bank with fast charging and dual USB ports. Keep your devices powered all day.",44.99,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400
Mechanical Keyboard,"RGB mechanical gaming keyboard with customizable keys and durable switches. Enhance your typing experience.",129.99,https://images.unsplash.com/photo-1595225476474-87563907a212?w=400
Monitor Stand,"Adjustable monitor stand with storage drawer and phone holder. Improve your desk ergonomics.",54.99,https://images.unsplash.com/photo-1527689368864-3a821dbccc34?w=400

